id	name	chi2	pval
349	4.1-ngram.next_user_utterance__moderate	49.8817	0.0000
350	5-phrase_feature__noun_phrases__next_user_utterance__code	49.6397	0.0000
351	5-phrase_feature__noun_phrases__next_user_utterance__castle	49.6293	0.0000
352	5-phrase_feature__noun_phrases__next_system_utterance__giraffe	49.4560	0.0000
353	8.1-lda_feature.next_system_utterance__topic_27	49.2591	0.0000
354	4.1-ngram.next_user_utterance__pub	48.8581	0.0000
355	5-phrase_feature__noun_phrases__next_system_utterance__gourmet_burger	48.8110	0.0000
356	5-phrase_feature__noun_phrases__next_system_utterance__gourmet	48.8110	0.0000
357	6-entity_feature__entity__next_system_utterance__Mediterranean_LOCATION	48.6706	0.0000
358	4.1-ngram.current_user_utterance__price	48.5242	0.0000
359	4.1-ngram.next_user_utterance__postcode	48.5112	0.0000
360	5-phrase_feature__noun_phrases__next_user_utterance__price	48.4276	0.0000
361	7-syntactic_feature__root_word__current_user_utterance__type	48.4085	0.0000
362	5-phrase_feature__noun_phrases__next_system_utterance__saints_church	48.3484	0.0000
363	6-entity_feature__entity__next_system_utterance__All_Saints_Church_ORGANIZATION	48.3484	0.0000
364	5-phrase_feature__noun_phrases__next_system_utterance__saints	48.3484	0.0000
365	2.1-user_action_words.current_user_utterance__post	48.2671	0.0000
366	5-phrase_feature__noun_phrases__current_user_utterance__post	48.2671	0.0000
367	5-phrase_feature__noun_phrases__next_user_utterance__hill	48.1915	0.0000
368	8.1-lda_feature.current_user_utterance__topic_30	48.1783	0.0000
369	6-entity_feature__entity__next_system_utterance__13_pounds_MONEY	48.1717	0.0000
370	5-phrase_feature__noun_phrases__next_system_utterance__newnham_area	47.9420	0.0000
371	5-phrase_feature__noun_phrases__next_user_utterance__address_phone	47.8659	0.0000
372	5-phrase_feature__noun_phrases__next_user_utterance__address_phone_number	47.8659	0.0000
373	2.1-user_action_words.current_user_utterance__ani	47.5754	0.0000
374	5-phrase_feature__noun_phrases__next_system_utterance__market	47.4251	0.0000
375	2.1-user_action_words.next_user_utterance__expens	47.3209	0.0000
376	4.1-ngram.next_system_utterance__college	47.1694	0.0000
